local_datetime,update,episode_reward
2026-01-29 14:16:43.388,7,-81.53278632083132
2026-01-29 14:16:45.209,7,-204.44599761017716
2026-01-29 14:16:47.171,7,-103.89364431717118
2026-01-29 14:16:49.045,7,-225.26982677482363
2026-01-29 14:16:51.708,8,-113.42963175124996
2026-01-29 14:16:53.428,8,-157.37174494745636
2026-01-29 14:16:54.723,8,-112.73552136163465
2026-01-29 14:16:56.483,8,-428.9410613011098
2026-01-29 14:16:58.781,8,-318.85514173342233
2026-01-29 14:17:00.357,8,-39.6446488458721
2026-01-29 14:17:01.728,8,-185.77806573811858
2026-01-29 14:17:03.705,8,-331.5165088055365
2026-01-29 14:17:05.461,8,-6.890329059970782
2026-01-29 14:17:07.540,8,-177.48275755547328
2026-01-29 14:17:09.640,8,-258.3760201337863
2026-01-29 14:17:11.858,8,-148.36926758739446
2026-01-29 14:17:15.071,9,-142.7274599581193
2026-01-29 14:17:17.569,9,-98.9947660488046
2026-01-29 14:17:19.906,9,-200.41938697016116
2026-01-29 14:17:21.556,9,-110.33971395160617
2026-01-29 14:17:24.355,9,-80.16448313400096
2026-01-29 14:17:25.783,9,-42.18297696409893
2026-01-29 14:17:27.900,9,-316.8436426416657
2026-01-29 14:17:29.710,9,-225.7947337329463
2026-01-29 14:17:32.494,9,-314.2241112958102
2026-01-29 14:17:35.455,10,-179.42392139725914
2026-01-29 14:17:37.177,10,-170.0416588649009
2026-01-29 14:17:39.981,10,-300.9586849800487
2026-01-29 14:17:42.350,10,-124.97891210122438
2026-01-29 14:17:43.618,10,-218.784300982959
2026-01-29 14:17:46.249,10,-123.84321638084843
2026-01-29 14:17:48.081,10,-256.5584385658786
2026-01-29 14:17:50.139,10,-135.23506239057468
2026-01-29 14:17:52.607,10,-247.3872841439133
2026-01-29 14:17:54.559,10,-297.14154580610335
2026-01-29 14:17:57.242,11,-253.0186054122757
2026-01-29 14:17:59.375,11,-91.14360774761805
2026-01-29 14:18:01.023,11,-407.91861355241707
2026-01-29 14:18:02.271,11,-90.94192317411299
2026-01-29 14:18:03.623,11,-71.48604124833517
2026-01-29 14:18:06.211,11,-278.3914775425168
2026-01-29 14:18:08.438,11,-288.82776407529104
2026-01-29 14:18:09.996,11,-41.57360747508207
2026-01-29 14:18:11.733,11,-92.86267896115623
2026-01-29 14:18:13.953,11,-130.83377732015774
2026-01-29 14:18:15.254,11,-88.38053821049986
2026-01-29 14:18:16.974,11,-304.5056534724557
2026-01-29 14:18:20.551,12,-375.3709369737752
2026-01-29 14:18:21.923,12,-82.33902865434477
2026-01-29 14:18:23.982,12,-166.49955876636506
2026-01-29 14:18:26.140,12,-135.5667914747366
2026-01-29 14:18:27.997,12,-353.33956681540593
2026-01-29 14:18:30.083,12,-298.67526235877085
2026-01-29 14:18:32.216,12,-270.84835032279636
2026-01-29 14:18:34.313,12,-321.34202798211595
2026-01-29 14:18:36.908,12,-179.62312037453898
2026-01-29 14:18:38.560,12,-115.87182006331219
2026-01-29 14:18:41.532,13,-179.97164894396343
2026-01-29 14:18:43.368,13,-69.61258829370443
2026-01-29 14:18:46.271,13,42.287018225849664
2026-01-29 14:18:49.361,13,-316.69860230191875
2026-01-29 14:18:51.493,13,-89.0992973368498
2026-01-29 14:18:53.125,13,-85.32028535839446
2026-01-29 14:18:55.708,13,-186.1223206905089
2026-01-29 14:18:57.435,13,-59.737672751144
2026-01-29 14:18:59.369,13,-63.21472431877709
2026-01-29 14:19:02.805,14,-285.9404162998717
2026-01-29 14:19:04.756,14,-91.6016332840307
2026-01-29 14:19:06.768,14,-427.9641488645165
2026-01-29 14:19:08.942,14,-168.1245953011079
2026-01-29 14:19:11.455,14,-240.75484429527657
2026-01-29 14:19:13.606,14,-361.5771821427504
2026-01-29 14:19:15.598,14,-310.8430839983487
2026-01-29 14:19:17.522,14,-92.04671783102621
2026-01-29 14:19:19.333,14,-247.784137527229
2026-01-29 14:19:21.622,14,-118.41171953053068
2026-01-29 14:19:23.655,15,-94.07237432346533
2026-01-29 14:19:25.609,15,-202.54342924926016
2026-01-29 14:19:27.921,15,-449.5496563612673
2026-01-29 14:19:29.832,15,-121.9731208472277
2026-01-29 14:19:32.649,15,-337.2341622880281
2026-01-29 14:19:34.443,15,-110.01531525752625
2026-01-29 14:19:37.140,15,-293.40765420907985
2026-01-29 14:19:40.078,15,-177.79832244473596
2026-01-29 14:19:42.296,15,-253.64781958847527
2026-01-29 14:19:44.008,15,-128.3692330367305
2026-01-29 14:19:45.856,16,-124.90975269671154
2026-01-29 14:19:47.468,16,-209.3823132902082
2026-01-29 14:19:48.902,16,-87.99706966519315
2026-01-29 14:19:51.571,16,-126.12173743700683
2026-01-29 14:19:53.414,16,-95.9898131402112
2026-01-29 14:19:55.131,16,-144.63345467139663
2026-01-29 14:19:56.854,16,-149.4823838062825
2026-01-29 14:19:59.072,16,-273.6747644473538
2026-01-29 14:20:00.481,16,-67.69411149830691
2026-01-29 14:20:01.913,16,-115.89973153079859
2026-01-29 14:20:03.308,16,-108.15832339952254
2026-01-29 14:20:05.106,16,-201.6147104613297
2026-01-29 14:20:07.435,17,-194.5956086888425
2026-01-29 14:20:09.398,17,-152.31525069151215
2026-01-29 14:20:11.435,17,-335.58783291900215
2026-01-29 14:20:13.803,17,-245.37275554189995
2026-01-29 14:20:16.011,17,-234.46056372956102
2026-01-29 14:20:17.361,17,-231.6996831707721
2026-01-29 14:20:19.813,17,-91.7088333788978
2026-01-29 14:20:22.231,17,-198.28695486915973
2026-01-29 14:20:24.030,17,-134.99571928632992
2026-01-29 14:20:26.029,17,-139.05043732334715
2026-01-29 14:20:27.786,17,-74.85628132374944
2026-01-29 14:20:29.796,18,-100.22282293407827
2026-01-29 14:20:31.387,18,-63.95370092775222
2026-01-29 14:20:33.685,18,-123.4256479154414
2026-01-29 14:20:35.901,18,-469.8392618288718
2026-01-29 14:20:37.813,18,-320.2539521806448
2026-01-29 14:20:40.104,18,-161.76798220023403
2026-01-29 14:20:41.838,18,-138.5154582118181
2026-01-29 14:20:43.305,18,-31.576481986005163
2026-01-29 14:20:44.958,18,-95.24201933646702
2026-01-29 14:20:46.874,18,-202.7645392947474
2026-01-29 14:20:48.609,18,-65.24246592856215
2026-01-29 14:20:51.240,19,-177.03022535219034
2026-01-29 14:20:52.670,19,-86.7132312561175
2026-01-29 14:20:54.298,19,-182.5132446958852
2026-01-29 14:20:56.925,19,-132.25460430074656
2026-01-29 14:20:59.037,19,-146.8936609679456
2026-01-29 14:21:01.421,19,-391.8661696846321
2026-01-29 14:21:03.572,19,-486.8333053484466
2026-01-29 14:21:06.004,19,-133.19028314421496
2026-01-29 14:21:07.919,19,-118.22915638945923
2026-01-29 14:21:10.842,19,-268.22315651717946
2026-01-29 14:21:12.897,20,-93.02588904440397
2026-01-29 14:21:15.372,20,-203.93957920458388
2026-01-29 14:21:17.325,20,-296.6290036010347
2026-01-29 14:21:19.401,20,-127.7616970702586
2026-01-29 14:21:22.296,20,-104.93903307448282
2026-01-29 14:21:24.679,20,-107.36782234273167
2026-01-29 14:21:26.765,20,-405.9393421381354
2026-01-29 14:21:28.887,20,-323.5292042261551
2026-01-29 14:21:31.562,20,-296.70261764248824
2026-01-29 14:21:34.536,21,-112.94271041786317
2026-01-29 14:21:37.011,21,-26.69295828183658
2026-01-29 14:21:39.121,21,-154.62428908776457
2026-01-29 14:21:41.447,21,-244.60230515209216
2026-01-29 14:21:43.534,21,-254.58201631549179
2026-01-29 14:21:45.492,21,-316.04738520975127
2026-01-29 14:21:47.575,21,-52.91625632629931
2026-01-29 14:21:50.623,21,-423.6690069687207
2026-01-29 14:21:52.594,21,-97.79806403976144
2026-01-29 14:21:54.065,21,-90.29673106240057
2026-01-29 14:21:57.668,22,-14.99397375173183
2026-01-29 14:21:59.785,22,-450.6602046481573
2026-01-29 14:22:01.607,22,-49.55160608313832
2026-01-29 14:22:03.443,22,-107.89665196928448
