local_datetime,update,episode_reward
2026-01-29 14:42:07.196,6,-330.6430279044007
2026-01-29 14:42:09.024,6,-67.83481726454934
2026-01-29 14:42:10.823,6,-214.9682339773006
2026-01-29 14:42:12.902,6,-158.45841373812846
2026-01-29 14:42:14.737,6,-127.06013665433879
2026-01-29 14:42:17.801,7,-79.35843929685606
2026-01-29 14:42:19.872,7,-179.81645080277264
2026-01-29 14:42:21.096,7,-177.94383079464507
2026-01-29 14:42:23.304,7,-235.65707485400347
2026-01-29 14:42:25.037,7,-118.41633980014838
2026-01-29 14:42:27.026,7,-147.58889687221134
2026-01-29 14:42:29.887,7,-313.4997490256457
2026-01-29 14:42:32.191,7,-375.98586260383695
2026-01-29 14:42:33.783,7,-100.61308252253788
2026-01-29 14:42:35.611,7,-169.6980547040787
2026-01-29 14:42:37.001,7,-71.1745891054336
2026-01-29 14:42:39.272,8,-117.36978577044644
2026-01-29 14:42:40.581,8,-82.06574243396952
2026-01-29 14:42:42.440,8,-145.82278273118402
2026-01-29 14:42:43.791,8,-76.97567558269745
2026-01-29 14:42:46.172,8,-76.76068857135166
2026-01-29 14:42:47.565,8,-63.4423055292161
2026-01-29 14:42:50.573,8,-316.7014962226471
2026-01-29 14:42:53.073,8,-62.13504433752793
2026-01-29 14:42:54.446,8,-116.03883971630312
2026-01-29 14:42:55.942,8,-81.00761669295284
2026-01-29 14:42:58.167,8,-224.12908755554568
2026-01-29 14:43:01.753,9,-90.17604794448347
2026-01-29 14:43:04.012,9,-106.67918758233515
2026-01-29 14:43:06.112,9,-115.50828286601244
2026-01-29 14:43:08.088,9,-102.13473078718255
2026-01-29 14:43:09.668,9,-71.8917375577748
2026-01-29 14:43:11.541,9,-61.319620452910684
2026-01-29 14:43:13.493,9,27.96667763297897
2026-01-29 14:43:16.173,9,-17.397956012955348
2026-01-29 14:43:18.225,9,-102.96549112868134
2026-01-29 14:43:21.900,10,-180.9801773901424
2026-01-29 14:43:24.673,10,-322.08562699999186
2026-01-29 14:43:26.843,10,-111.40330140639989
2026-01-29 14:43:29.134,10,-105.5217307544485
2026-01-29 14:43:31.101,10,-228.8414907861773
2026-01-29 14:43:32.689,10,-117.14458875416152
2026-01-29 14:43:35.390,10,-125.14596005070062
2026-01-29 14:43:37.826,10,-136.06372000549828
2026-01-29 14:43:39.398,10,-73.56613278013862
2026-01-29 14:43:41.009,10,-106.5022685796162
2026-01-29 14:43:44.209,11,-133.60567735140717
2026-01-29 14:43:46.112,11,-137.06445600412044
2026-01-29 14:43:48.382,11,-134.2807652061765
2026-01-29 14:43:51.314,11,-139.4380545157087
2026-01-29 14:43:53.124,11,-234.64662350380829
2026-01-29 14:43:54.799,11,-130.02287803288147
2026-01-29 14:43:56.953,11,-98.87940094372472
2026-01-29 14:43:58.392,11,-137.34276748478985
2026-01-29 14:44:00.843,11,-181.9235592217841
2026-01-29 14:44:02.626,11,-109.21285733421195
2026-01-29 14:44:04.163,11,-194.44698111510462
2026-01-29 14:44:06.850,12,-72.20353321115593
2026-01-29 14:44:08.387,12,-96.93977334037717
2026-01-29 14:44:10.183,12,-201.1604305460761
2026-01-29 14:44:13.474,12,-26.280226696470166
2026-01-29 14:44:15.447,12,-30.394182587015862
2026-01-29 14:44:17.574,12,-239.31437652813173
2026-01-29 14:44:20.477,12,-182.26817557971458
2026-01-29 14:44:22.673,12,-156.72622201063203
2026-01-29 14:44:24.547,12,-116.56210424706907
2026-01-29 14:44:26.836,13,-100.64119007339342
2026-01-29 14:44:29.471,13,-85.3672354322683
2026-01-29 14:44:32.433,13,-252.09443787133551
2026-01-29 14:44:33.882,13,-89.37881217155842
